ID,Area,Signal,Scenario,Setup,Expected Raw,Expected Stats,Expected Gate,Expected Webhook,Priority
GUARD-003,Protection,FAST_EARLY,Guard stop subtraction,Removed red loss was early stop,FAST_EARLY raw counted,Guard stops subtract correctly,Guard stop rate recomputed,Payload stop count matches table,P1
FALSE-001,Protection,TEAM,Clean sweep pressure,4 recent closed trades all losses,Raw signals may continue,falsePressureCleanSweep=true,falsePressureLatched=true,No entry alert,P0
FALSE-002,Protection,TEAM,Pressure release,Score falls below 30,Raw signals may continue,falsePressureLatched=false,Final gates decide normally,Entry alert allowed if gate passes,P0
FALSE-003,Protection,TEAM,Weak tactic exclusion,Two weakest quality-fail tactics exist,Pressure ignores excluded tactics,falsePressure counts exclude weakest keys,Latched only from remaining sample,Payload includes excluded tactic keys,P1
CHOP-001,Protection,ALL,Chop sample insufficient,chopFlaggedClosed below min,Signals may exist,Chop metrics display standby,chopBlockActive=false,No chop-only block,P1
CHOP-002,Protection,ALL,Chop auto armed,choppy metrics worse and confidence >= min,Signals may exist,Chop guard armed,chopBlockActive true only when threshold crossed,No entry alert while active,P0
CHOP-003,Protection,ALL,Chop hurts performance,choppy net/trade better than normal,Signals may exist,Verdict FILTER LIKELY HURTS,useChopFilterAuto=false,No chop block,P1
RISK-001,Protection,PB_PLUS,QQQ risk off,qqqTrendUp=false,PB+ before filter true,pbPlusBlockedByFilter=true,PB+ hidden/blocked,No PB+ alert,P0
RISK-002,Protection,PB_PLUS,Earnings veto,daysToEarnings<=2,PB+ before filter true,isEarningsVeto=true and filter triggered,PB+ blocked,No PB+ alert,P0
RISK-003,Protection,FAST,Gap or ATR risk,isHighExecutionRisk=true,FAST base may be true,FAST not shown,Gate not reached for operational signal,No FAST alert,P1
JSON-001,Webhook,BUY,Entry payload consistency,BUY selected and sent,Signal BUY,signalStatsKey=BUY stats match table,autoExecutable=true,Valid JSON object,P0
JSON-002,Webhook,EXIT,Runner exit payload,Runner active and trail stop hit,Exit signal type ends ATR_EXIT,selected closed stats updated,Exit allowed,Payload has atrExitMode RUNNER_ATR,P0
JSON-003,Webhook,EXIT,Early ATR stop payload,Not runner and close below earlyStop,Exit signal type ends EARLY_ATR_STOP,EarlyStop +1,Exit allowed,Payload has atrExitMode EARLY_PROTECTION,P0
TABLE-001,Display,ALL,Data coverage truncated,Loaded history less than 90 percent target,All signals normal,Data coverage row TRUNCATED,No execution effect,Payload should not imply full sample,P1
TABLE-002,Display,ALL,Tactic row matches payload,Selected signal sent,Row values visible,Payload signalStats equals display values,Gate status same,Payload/table parity,P0
PERF-001,Performance,ALL,180 days 5m,Large liquid symbol,Signals render,Arrays pruned to windows,No timeout,Alerts still single per event,P1
PERF-002,Performance,ALL,730 days 10m,Max statsWindowDays,Signals render,Arrays do not grow beyond retained windows,No timeout,Alerts still valid,P1
PERF-003,Performance,ALL,High signal density day,Many raw signals,Pending arrays same length,No remove mismatch,Only selected alert per bar,Alerts valid,P0
